ID_Member;Name;Wait_Time_Minutes;Final_Status
301;Henrique #1;13;Completed
302;Guilherme #2;1;Completed
303;Kaique #3;86;Awaiting
304;Breno #4;43;Completed
305;Andressa #5;29;Completed
306;Cristiano #6;19;Completed
307;Rodrigo #7;14;Completed
308;Aline #8;81;Awaiting
309;Gustavo #9;67;Training
310;Eduarda #10;1;Completed
311;Mateus #11;44;Completed
312;Lucas #12;80;Awaiting
313;Gabriel #13;32;Completed
314;Bruno #14;77;Training
315;Rafael #15;9;Completed
316;Henrique #16;8;Completed
317;Guilherme #17;13;Completed
318;Kaique #18;67;Awaiting
319;Breno #19;50;Awaiting
320;Andressa #20;22;Completed
321;Cristiano #21;21;Completed
322;Rodrigo #22;7;Completed
323;Aline #23;33;Completed
324;Gustavo #24;55;Completed
325;Eduarda #25;30;Completed
326;Mateus #26;51;Completed
327;Lucas #27;26;Completed
328;Gabriel #28;54;Training
329;Bruno #29;34;Completed
330;Rafael #30;38;Completed
331;Henrique #31;29;Completed
332;Guilherme #32;68;Training
333;Kaique #33;26;Completed
334;Breno #34;55;Training
335;Andressa #35;28;Completed
336;Cristiano #36;17;Completed
337;Rodrigo #37;71;Awaiting
338;Aline #38;27;Completed
339;Gustavo #39;41;Training
340;Eduarda #40;4;Completed
341;Mateus #41;11;Completed
342;Lucas #42;38;Completed
343;Gabriel #43;50;Training
344;Bruno #44;28;Completed
345;Rafael #45;47;Completed
346;Henrique #46;65;Awaiting
347;Guilherme #47;49;Awaiting
348;Kaique #48;54;Training
349;Breno #49;28;Completed
350;Andressa #50;1;Completed
